site,species,latitude,longitude
RH,WL,51.599195,10.009212
RH,ES,51.591288,10.007933
RH,SA,51.591288,10.007933
HR,TE,51.594201,10.078726
HR,HB,51.594201,10.078726
KB,SA,51.541803,9.80909
KB,ES,51.541803,9.80909
KB,HB,51.541803,9.80909
LB,TE,51.978579,10.435671
LB,SA,51.979376,10.430706
LB,ES,51.979376,10.430706
LB,HB,52.021368,10.416407
HL,HB,51.404239,10.655329
HL,TE,51.404239,10.655329
HL,SA,51.404239,10.655329
HL,ES,51.404239,10.655329
HK,ES,51.883832,11.32081
HK,TE,51.883832,11.32081
HK,SA,51.883832,11.32081
HK,HB,51.883832,11.32081
HK,WL,51.883832,11.32081
ZR,ES,51.434345,11.532753
ZR,WL,51.434345,11.532753
ZR,TE,51.425929,11.519468
ZR,HB,51.425929,11.519468
GW,TE,51.190417,11.750763
GW,ES,51.190417,11.750763
GW,HB,51.190417,11.750763
GW,WL,51.190417,11.750763
HA,ES,51.500328,11.926774
HA,TE,51.487351,11.867109
HA,WL,51.487351,11.867109
HA,HB,51.500328,11.926774
HA,SA,51.491306,11.891522
