"site","species","latitude","longitude","month","monthnum","year","precipitation"
"RH","WL",51.599195,10.009212,"apr","04","1881",17
"RH","ES",51.591288,10.007933,"apr","04","1881",20
"RH","SA",51.591288,10.007933,"apr","04","1881",20
"HR","TE",51.594201,10.078726,"apr","04","1881",19
"HR","HB",51.594201,10.078726,"apr","04","1881",19
"KB","SA",51.541803,9.80909,"apr","04","1881",18
"KB","ES",51.541803,9.80909,"apr","04","1881",18
"KB","HB",51.541803,9.80909,"apr","04","1881",18
"LB","TE",51.978579,10.435671,"apr","04","1881",18
"LB","SA",51.979376,10.430706,"apr","04","1881",18
"LB","ES",51.979376,10.430706,"apr","04","1881",18
"LB","HB",52.021368,10.416407,"apr","04","1881",14
"HL","HB",51.404239,10.655329,"apr","04","1881",22
"HL","TE",51.404239,10.655329,"apr","04","1881",22
"HL","SA",51.404239,10.655329,"apr","04","1881",22
"HL","ES",51.404239,10.655329,"apr","04","1881",22
"HK","ES",51.883832,11.32081,"apr","04","1881",12
"HK","TE",51.883832,11.32081,"apr","04","1881",12
"HK","SA",51.883832,11.32081,"apr","04","1881",12
"HK","HB",51.883832,11.32081,"apr","04","1881",12
"HK","WL",51.883832,11.32081,"apr","04","1881",12
"ZR","ES",51.434345,11.532753,"apr","04","1881",13
"ZR","WL",51.434345,11.532753,"apr","04","1881",13
"ZR","TE",51.425929,11.519468,"apr","04","1881",13
"ZR","HB",51.425929,11.519468,"apr","04","1881",13
"GW","TE",51.190417,11.750763,"apr","04","1881",20
"GW","ES",51.190417,11.750763,"apr","04","1881",20
"GW","HB",51.190417,11.750763,"apr","04","1881",20
"GW","WL",51.190417,11.750763,"apr","04","1881",20
"HA","ES",51.500328,11.926774,"apr","04","1881",12
"HA","TE",51.487351,11.867109,"apr","04","1881",12
"HA","WL",51.487351,11.867109,"apr","04","1881",12
"HA","HB",51.500328,11.926774,"apr","04","1881",12
"HA","SA",51.491306,11.891522,"apr","04","1881",12
"RH","WL",51.599195,10.009212,"apr","04","1882",29
"RH","ES",51.591288,10.007933,"apr","04","1882",34
